Age,Gender,Income,Education_Level,Travel_Frequency,Preferred_Activities,Vacation_Budget,Location,Proximity_to_Mountains,Proximity_to_Beaches,Favorite_Season,Pets,Environmental_Concerns,Preference
63,female,29500,doctorate,8,sunbathing,2648,urban,146,286,winter,0,0,0
69,female,105890,high school,4,skiing,4755,urban,279,37,spring,1,0,0
42,non-binary,113071,high school,8,skiing,2797,suburban,32,253,spring,1,0,1
41,non-binary,119532,master,0,swimming,806,rural,78,172,fall,1,0,0
47,non-binary,50622,bachelor,1,sunbathing,2087,urban,237,92,fall,0,0,0
46,non-binary,41100,master,8,swimming,2924,rural,235,56,spring,0,0,0
46,non-binary,33328,doctorate,9,skiing,2513,rural,298,98,summer,0,1,0
30,female,93399,bachelor,7,sunbathing,3496,suburban,232,118,winter,1,0,0
57,male,27194,doctorate,9,swimming,3218,rural,95,187,summer,1,0,0
32,non-binary,92789,master,7,hiking,4586,rural,223,240,fall,0,0,1
35,non-binary,48776,bachelor,1,swimming,1270,urban,247,91,summer,1,1,0
30,non-binary,23653,bachelor,1,sunbathing,2541,rural,79,148,summer,1,0,0
63,female,90459,doctorate,1,skiing,1114,suburban,247,92,spring,1,0,0
68,male,21453,bachelor,0,swimming,1433,urban,12,155,fall,1,0,0
18,non-binary,61710,high school,2,hiking,4881,rural,159,261,summer,1,1,1
60,non-binary,39306,master,1,skiing,2096,suburban,46,86,spring,1,0,1
63,male,24577,high school,5,sunbathing,4281,urban,109,196,summer,0,0,0
39,male,69740,master,9,swimming,1190,rural,229,196,fall,1,0,0
65,female,43435,master,3,sunbathing,2209,suburban,177,93,spring,1,0,0
28,non-binary,31995,doctorate,5,sunbathing,3357,suburban,30,57,spring,0,1,0
32,non-binary,77549,high school,9,swimming,1497,suburban,192,197,summer,0,0,0
21,female,72811,master,6,hiking,2696,urban,237,121,summer,1,0,0
43,non-binary,39270,master,4,skiing,3764,urban,62,207,winter,1,0,1
46,non-binary,105331,doctorate,5,hiking,2294,urban,116,88,winter,1,1,0
28,non-binary,86814,master,7,skiing,4679,urban,130,285,summer,1,1,1
26,female,24982,high school,8,hiking,4665,rural,204,164,winter,0,1,0
23,female,67801,master,6,swimming,3512,rural,185,166,summer,0,1,0
44,non-binary,89883,bachelor,3,swimming,672,urban,298,223,summer,1,1,0
58,non-binary,68038,high school,5,sunbathing,2280,rural,214,219,fall,1,1,0
34,female,21079,doctorate,7,sunbathing,2795,suburban,252,69,spring,1,1,0
27,male,96668,bachelor,6,skiing,4096,suburban,45,116,summer,0,1,1
25,female,71229,bachelor,6,hiking,1546,rural,97,7,winter,1,1,0
28,non-binary,32050,doctorate,0,swimming,1602,rural,299,237,summer,0,1,0
25,non-binary,92246,high school,6,skiing,1648,rural,274,201,fall,1,1,0
64,female,20865,high school,0,hiking,894,urban,215,138,summer,0,0,0
38,non-binary,49858,doctorate,2,swimming,4577,suburban,260,93,winter,1,1,0
41,female,46948,master,3,sunbathing,2223,urban,22,153,winter,0,1,0
45,male,98009,high school,2,hiking,4775,urban,115,126,winter,1,1,1
34,female,54172,high school,2,hiking,2320,rural,261,298,fall,0,1,1
22,female,74305,bachelor,8,skiing,4408,suburban,63,193,spring,0,1,1
26,female,82617,bachelor,7,skiing,1543,suburban,261,290,summer,1,0,1
46,female,52243,high school,8,hiking,1966,suburban,122,183,winter,0,1,1
51,male,70790,master,7,hiking,2972,rural,187,140,spring,0,0,0
56,female,63266,doctorate,1,skiing,3625,suburban,69,56,fall,1,0,0
48,female,111501,master,7,sunbathing,689,urban,120,159,winter,1,1,0
39,male,51593,high school,6,swimming,4666,urban,293,106,summer,0,1,0
69,non-binary,112113,doctorate,3,sunbathing,795,rural,296,170,winter,1,0,0
62,male,112368,doctorate,4,sunbathing,3159,suburban,211,226,fall,1,0,0
42,male,52892,high school,3,hiking,4416,urban,73,245,winter,0,0,1
58,non-binary,43234,master,0,sunbathing,2095,rural,61,19,winter,0,1,0
54,male,39260,bachelor,3,hiking,4103,suburban,183,275,winter,1,0,1
36,male,58348,high school,9,sunbathing,2207,rural,296,201,winter,0,1,0
39,male,58534,bachelor,3,swimming,745,suburban,118,267,summer,1,1,0
33,male,60701,doctorate,3,sunbathing,849,suburban,73,184,spring,1,0,0
36,non-binary,41760,high school,7,hiking,542,rural,62,111,winter,0,0,1
60,male,21166,high school,4,sunbathing,3446,suburban,41,168,winter,1,0,0
36,non-binary,87030,doctorate,0,swimming,4121,urban,196,264,summer,1,0,0
65,non-binary,30548,doctorate,3,hiking,517,rural,150,62,summer,1,1,0
46,non-binary,106157,bachelor,8,swimming,870,urban,21,165,fall,1,0,0
62,male,30078,master,2,sunbathing,1718,suburban,208,70,spring,0,0,0
61,female,119472,high school,5,skiing,3710,urban,23,220,spring,1,0,1
53,non-binary,71265,doctorate,4,sunbathing,3616,urban,282,201,summer,0,0,0
48,male,77315,bachelor,6,skiing,4895,rural,156,55,winter,0,0,0
34,male,45336,doctorate,2,swimming,1242,rural,152,189,fall,1,0,0
32,non-binary,114098,bachelor,9,hiking,1296,suburban,270,76,winter,1,1,0
19,male,72569,master,6,swimming,739,urban,59,145,winter,0,0,0
38,male,107365,doctorate,7,hiking,3883,suburban,156,203,summer,0,0,1
66,male,112574,master,8,skiing,700,rural,57,146,winter,0,0,1
18,male,68242,high school,1,sunbathing,965,rural,291,191,spring,0,0,0
69,female,59846,bachelor,5,sunbathing,4797,suburban,77,153,summer,1,0,0
28,non-binary,72086,bachelor,4,swimming,1136,suburban,246,132,summer,0,0,0
37,male,74872,master,2,swimming,2077,urban,41,201,fall,0,0,0
50,non-binary,73064,high school,0,sunbathing,2568,suburban,39,21,summer,1,1,0
56,female,26942,high school,1,sunbathing,1763,suburban,293,157,fall,1,0,0
40,non-binary,81493,high school,8,sunbathing,2078,suburban,95,212,winter,1,1,0
21,non-binary,74004,master,7,skiing,538,urban,254,225,winter,1,0,0
62,non-binary,82922,bachelor,1,skiing,2019,suburban,17,203,summer,0,0,1
64,male,66623,doctorate,5,sunbathing,2917,urban,283,41,fall,0,0,0
26,female,25893,master,3,hiking,2081,urban,63,7,winter,1,0,0
48,male,94226,bachelor,7,swimming,3680,suburban,299,65,spring,1,0,0
18,male,118164,high school,3,hiking,1067,urban,4,113,spring,0,0,1
50,non-binary,76342,doctorate,2,skiing,4252,suburban,56,27,fall,1,1,0
41,non-binary,70263,doctorate,4,hiking,4887,rural,98,35,winter,0,1,0
57,non-binary,97939,doctorate,6,swimming,2392,rural,28,251,winter,0,0,0
63,female,66673,high school,5,hiking,1837,suburban,118,220,summer,1,0,1
42,male,31712,doctorate,1,hiking,2978,urban,36,264,winter,1,1,1
53,male,112981,high school,5,hiking,3050,urban,116,182,fall,0,0,1
69,non-binary,91148,master,0,skiing,1251,rural,163,94,fall,1,1,0
63,non-binary,93608,bachelor,5,skiing,4562,rural,15,166,summer,0,0,1
41,non-binary,36734,master,1,swimming,4665,rural,260,184,summer,1,1,0
44,female,102289,master,8,sunbathing,2947,suburban,181,220,winter,0,1,0
56,male,38036,doctorate,4,sunbathing,4504,suburban,15,6,winter,1,1,0
55,non-binary,114916,high school,5,swimming,4058,suburban,249,54,winter,1,0,0
50,female,29841,doctorate,8,skiing,3052,suburban,55,6,summer,1,0,0
45,female,99096,bachelor,3,hiking,2426,suburban,84,156,fall,0,1,1
37,male,63998,bachelor,2,swimming,1814,urban,131,10,fall,0,0,0
25,male,58366,doctorate,5,skiing,1886,suburban,3,105,winter,1,1,1
32,non-binary,21743,high school,3,hiking,2426,urban,196,160,fall,1,1,0
49,male,109337,bachelor,3,skiing,962,rural,235,239,summer,0,0,1
23,male,117164,bachelor,2,skiing,4708,rural,292,263,winter,1,0,0
22,non-binary,100020,high school,4,skiing,4678,suburban,215,133,winter,0,0,0
48,male,32264,doctorate,7,hiking,4005,suburban,279,180,spring,1,1,0
53,non-binary,59256,high school,3,hiking,3533,urban,128,72,spring,1,0,0
64,female,62335,bachelor,7,sunbathing,2182,urban,152,0,winter,1,1,0
66,male,36156,doctorate,3,swimming,1740,rural,37,208,winter,0,0,0
22,female,91307,bachelor,7,skiing,3628,rural,218,75,winter,0,1,0
39,female,81861,doctorate,2,sunbathing,3624,urban,198,89,fall,0,1,0
60,female,69541,master,8,skiing,567,rural,189,215,winter,1,0,1
55,female,28148,doctorate,5,swimming,3582,rural,69,86,spring,0,1,0
40,female,68374,doctorate,5,swimming,4699,suburban,264,123,fall,1,0,0
23,male,34328,bachelor,1,hiking,2121,urban,113,288,summer,0,0,1
19,non-binary,55609,master,6,swimming,1842,suburban,251,228,spring,0,0,0
19,male,108385,master,5,swimming,1177,urban,66,65,winter,0,1,0
28,male,96700,master,9,hiking,966,urban,42,12,spring,0,0,0
32,male,54486,bachelor,4,hiking,835,suburban,27,64,spring,0,1,1
21,non-binary,98372,bachelor,0,swimming,2079,rural,215,245,fall,0,1,0
66,male,39994,doctorate,3,skiing,4939,urban,38,85,fall,1,0,1
41,female,72801,high school,0,swimming,3510,urban,252,295,spring,1,1,0
56,female,25770,high school,6,swimming,1051,suburban,52,181,winter,1,0,0
36,non-binary,70245,master,6,skiing,4756,suburban,240,37,winter,1,1,0
43,female,31511,master,2,hiking,3464,rural,62,219,summer,0,1,1
47,female,90645,high school,8,sunbathing,2767,rural,122,270,fall,1,0,0
61,male,118534,high school,2,sunbathing,1006,rural,72,90,spring,0,1,0
43,male,66776,high school,3,skiing,2489,rural,195,175,fall,0,1,0
58,male,77362,high school,3,swimming,993,urban,46,2,spring,1,1,0
32,female,55046,bachelor,5,skiing,542,suburban,298,11,spring,0,1,0
52,non-binary,50615,bachelor,5,hiking,4214,rural,140,152,spring,0,0,1
20,non-binary,64823,bachelor,4,skiing,2206,urban,87,115,summer,1,1,1
32,male,102450,doctorate,9,hiking,2988,suburban,70,228,summer,0,1,1
51,male,115942,bachelor,3,hiking,1591,urban,108,167,fall,1,0,1
57,female,110671,bachelor,3,sunbathing,4841,rural,102,262,summer,1,0,0
68,female,56154,bachelor,3,skiing,2801,rural,184,173,fall,0,1,0
53,non-binary,24027,master,0,sunbathing,4434,suburban,290,155,winter,0,1,0
25,female,42900,master,4,skiing,4151,suburban,55,273,spring,0,1,1
28,female,46436,master,4,swimming,1611,rural,221,25,summer,1,1,0
43,male,117239,bachelor,3,swimming,1444,urban,66,181,summer,1,1,0
40,male,45860,doctorate,9,swimming,2039,suburban,251,99,spring,0,0,0
32,non-binary,25230,doctorate,9,sunbathing,4948,urban,61,259,spring,1,0,0
26,non-binary,81242,master,0,hiking,4897,rural,79,14,spring,1,0,0
56,female,77078,bachelor,1,swimming,3111,urban,221,161,fall,0,0,0
46,female,34644,bachelor,0,swimming,4501,suburban,93,114,winter,0,0,0
25,female,41558,doctorate,8,sunbathing,1777,urban,4,25,winter,1,1,0
30,female,65145,high school,5,sunbathing,4346,rural,195,273,summer,0,1,0
51,non-binary,90722,doctorate,4,sunbathing,2769,suburban,111,108,winter,1,1,0
35,female,112983,bachelor,4,hiking,534,suburban,103,50,summer,0,0,0
27,female,21342,master,3,sunbathing,851,suburban,64,192,fall,0,1,0
21,female,102598,master,1,skiing,2165,suburban,212,199,winter,1,0,0
61,non-binary,25157,high school,2,hiking,1543,suburban,187,291,spring,0,0,1
31,non-binary,39578,bachelor,7,hiking,3114,urban,54,248,summer,1,1,1
61,female,114436,bachelor,9,hiking,630,urban,43,115,fall,0,1,1
47,male,114369,master,2,sunbathing,1990,rural,101,227,fall,1,0,0
26,male,104634,master,6,sunbathing,3547,rural,75,21,winter,1,1,0
34,female,73671,master,1,hiking,4226,suburban,16,246,spring,1,1,1
45,female,86871,bachelor,3,swimming,3378,suburban,257,255,fall,1,0,0
28,non-binary,77732,high school,4,skiing,610,rural,298,150,summer,0,1,0
19,female,82596,high school,4,swimming,4226,rural,281,104,fall,0,1,0
35,female,92258,doctorate,7,skiing,1992,urban,121,75,winter,0,1,0
48,female,29165,bachelor,5,skiing,4044,urban,25,106,fall,1,0,1
40,non-binary,110244,doctorate,2,skiing,1988,rural,25,22,fall,1,0,0
65,male,53326,master,7,sunbathing,2271,urban,261,151,fall,0,1,0
50,female,22186,master,8,sunbathing,1280,suburban,138,53,winter,0,0,0
60,female,37194,master,1,skiing,2004,suburban,132,175,winter,1,0,1
22,male,115110,bachelor,9,hiking,1571,rural,156,61,fall,0,0,0
42,female,64967,high school,6,swimming,3498,suburban,228,172,winter,0,1,0
54,non-binary,80798,high school,3,skiing,3625,urban,269,100,fall,1,1,0
58,female,42185,high school,0,sunbathing,1151,urban,258,19,winter,1,1,0
50,non-binary,92768,high school,4,hiking,3397,rural,246,10,spring,1,1,0
19,female,32793,doctorate,2,hiking,4790,urban,262,290,fall,0,1,1
68,female,58280,high school,1,skiing,4765,urban,152,92,spring,0,1,0
68,female,118616,doctorate,0,swimming,2865,suburban,39,128,winter,0,0,0
46,female,46844,bachelor,9,hiking,1264,suburban,288,289,fall,0,1,1
56,female,94943,doctorate,3,skiing,2222,urban,71,111,winter,1,1,1
24,male,90807,master,7,skiing,2894,rural,115,223,winter,1,1,1
19,female,57457,high school,3,swimming,4722,urban,227,157,winter,0,1,0
24,male,97737,doctorate,0,swimming,1011,suburban,297,146,fall,1,1,0
61,female,64929,doctorate,5,hiking,4887,suburban,196,267,fall,0,0,1
55,male,67078,bachelor,0,sunbathing,1025,suburban,112,189,fall,1,0,0
54,male,112265,master,4,swimming,2146,rural,179,115,spring,1,1,0
37,female,66419,master,8,sunbathing,2405,rural,120,169,fall,0,0,0
20,female,58123,master,1,swimming,4947,urban,295,212,spring,1,0,0
40,male,78208,master,2,swimming,1207,suburban,204,232,fall,0,1,0
32,non-binary,26327,master,1,hiking,1118,rural,103,228,summer,0,0,1
56,female,61731,master,0,sunbathing,3738,suburban,97,48,spring,1,0,0
26,male,103103,doctorate,6,hiking,4920,urban,115,252,winter,0,1,1
58,female,85715,high school,4,sunbathing,2837,urban,285,270,fall,0,1,0
56,non-binary,113189,doctorate,9,sunbathing,2193,urban,49,277,spring,0,0,0
45,non-binary,101599,bachelor,4,sunbathing,2860,rural,35,260,fall,0,0,0
49,male,74552,master,4,skiing,740,suburban,297,289,summer,0,0,0
58,female,117840,master,0,sunbathing,3316,suburban,122,203,winter,1,0,0
65,non-binary,67014,doctorate,7,sunbathing,1955,urban,85,100,winter,0,0,0
56,female,78906,high school,1,hiking,3822,rural,202,278,winter,1,1,1
61,male,40636,doctorate,4,swimming,760,suburban,196,5,summer,1,0,0
19,non-binary,60145,bachelor,4,skiing,629,urban,55,269,summer,1,0,1
48,male,64773,doctorate,0,swimming,1538,rural,186,36,spring,1,0,0
69,female,23698,high school,1,swimming,1456,urban,100,144,fall,1,1,0
27,male,113148,bachelor,8,hiking,4182,rural,201,152,winter,0,0,0
38,non-binary,104001,master,1,hiking,2460,rural,39,85,fall,1,0,1
36,non-binary,98975,master,7,swimming,3031,urban,120,57,summer,1,1,0
27,male,108241,bachelor,4,swimming,3527,urban,79,128,summer,0,1,0
66,female,108477,high school,4,sunbathing,1204,rural,77,135,summer,1,0,0
53,non-binary,50896,master,5,skiing,1691,rural,127,19,fall,1,0,0
22,male,107620,high school,1,swimming,2975,suburban,21,111,summer,1,1,0
29,female,91023,high school,7,hiking,4133,urban,239,61,fall,0,0,0
61,non-binary,62957,bachelor,8,swimming,4541,suburban,70,152,summer,1,1,0
52,male,49818,bachelor,7,sunbathing,714,urban,211,12,summer,1,0,0
18,female,50744,doctorate,6,swimming,3604,suburban,84,30,summer,1,1,0
69,non-binary,32655,doctorate,2,sunbathing,3891,suburban,279,137,summer,0,1,0
34,non-binary,70262,bachelor,9,sunbathing,3869,urban,213,103,spring,0,0,0
34,female,67775,high school,6,hiking,3918,rural,36,2,spring,1,1,0
57,non-binary,30855,doctorate,6,hiking,4072,suburban,197,278,fall,1,0,1
32,non-binary,104689,doctorate,2,swimming,524,suburban,63,172,fall,0,0,0
55,female,98173,high school,0,hiking,3859,suburban,0,296,summer,0,1,1
62,female,22810,high school,1,swimming,4366,urban,269,108,fall,1,1,0
25,male,113199,doctorate,6,sunbathing,1378,rural,73,210,spring,1,0,0
44,non-binary,34623,bachelor,7,sunbathing,1140,rural,71,197,winter,0,1,0
18,male,31024,master,4,swimming,2050,suburban,85,53,spring,0,0,0
35,female,21679,bachelor,7,swimming,3726,rural,295,61,fall,0,0,0
34,female,60323,master,5,sunbathing,4062,suburban,95,268,winter,0,0,0
28,female,26923,doctorate,4,sunbathing,840,rural,70,61,fall,1,1,0
24,female,95689,doctorate,4,sunbathing,502,rural,68,213,summer,1,1,0
38,male,63076,doctorate,6,swimming,2557,urban,199,197,summer,0,0,0
39,non-binary,60808,doctorate,5,swimming,2415,urban,176,129,fall,0,0,0
57,non-binary,115336,high school,5,skiing,2730,rural,179,73,fall,0,0,0
18,female,54170,master,0,skiing,2937,urban,159,240,summer,0,1,1
54,male,50667,bachelor,5,sunbathing,3529,urban,118,102,fall,0,0,0
30,non-binary,118757,master,4,hiking,4620,urban,122,70,summer,1,0,0
64,male,114384,high school,7,skiing,1698,suburban,132,178,fall,0,1,1
46,non-binary,88442,high school,8,hiking,3084,suburban,55,264,winter,0,1,1
44,non-binary,113489,bachelor,0,skiing,3628,rural,45,72,winter,1,0,1
27,non-binary,69242,master,3,sunbathing,2596,suburban,295,32,summer,1,0,0
66,female,50822,doctorate,0,sunbathing,1880,urban,61,164,summer,0,0,0
38,non-binary,88515,master,0,skiing,4694,suburban,136,145,fall,0,1,1
40,non-binary,25332,bachelor,3,swimming,1745,rural,108,279,spring,0,1,0
20,non-binary,118930,high school,9,swimming,4356,rural,268,35,winter,0,1,0
61,non-binary,111913,doctorate,3,skiing,1704,urban,95,257,summer,1,1,1
39,male,92898,master,4,hiking,3601,rural,175,105,spring,0,0,0
23,non-binary,27377,high school,7,hiking,2846,suburban,216,137,summer,0,0,0
68,female,104549,bachelor,3,sunbathing,3239,suburban,288,5,spring,0,1,0
44,non-binary,27967,high school,3,sunbathing,4584,rural,136,46,summer,1,0,0
38,male,115691,high school,9,skiing,3362,rural,255,112,winter,1,1,0
46,male,117475,doctorate,9,skiing,3029,urban,227,59,spring,0,1,0
66,non-binary,104420,doctorate,5,hiking,1074,rural,221,209,winter,1,0,0
63,non-binary,90959,doctorate,4,swimming,4061,rural,47,84,summer,0,1,0
42,male,68448,bachelor,6,skiing,4369,rural,81,206,spring,1,1,1
68,male,86535,bachelor,9,hiking,1921,rural,282,254,fall,0,0,0
40,male,88001,doctorate,1,swimming,1465,urban,107,54,fall,1,1,0
50,male,37681,master,7,skiing,1335,rural,218,253,winter,1,1,1
48,male,53304,bachelor,8,sunbathing,2817,urban,90,136,spring,0,1,0
68,female,114114,high school,0,swimming,1745,rural,222,256,winter,0,0,0
33,male,79013,master,8,sunbathing,2394,suburban,94,255,fall,1,1,0
27,male,83796,master,4,skiing,1405,urban,249,119,winter,1,1,0
24,male,68363,high school,9,hiking,2324,rural,188,178,summer,0,0,0
36,female,87682,bachelor,5,sunbathing,3072,urban,137,214,spring,1,0,0
37,female,105367,high school,1,skiing,4430,urban,226,152,summer,0,0,0
45,non-binary,66622,master,1,skiing,2658,rural,228,287,fall,1,0,1
25,female,53325,bachelor,1,skiing,626,rural,164,279,winter,0,0,1
34,non-binary,25903,high school,1,skiing,2758,suburban,25,87,summer,0,0,1
55,non-binary,109025,doctorate,4,sunbathing,943,urban,87,287,spring,0,1,0
34,female,51901,doctorate,5,swimming,1850,urban,115,9,fall,1,0,0
66,male,105994,high school,8,swimming,3547,suburban,53,34,fall,0,1,0
68,female,107094,high school,1,skiing,1214,urban,246,88,spring,0,0,0
68,female,24053,doctorate,5,skiing,693,suburban,92,41,spring,1,1,0
38,non-binary,74243,doctorate,5,sunbathing,3630,rural,284,6,fall,1,1,0
60,female,47126,bachelor,2,skiing,4162,rural,141,34,fall,0,1,0
42,non-binary,74968,high school,8,hiking,2612,rural,54,268,spring,0,1,1
50,male,75246,doctorate,8,swimming,1754,urban,103,86,winter,1,1,0
66,non-binary,67847,high school,5,skiing,3475,rural,222,110,summer,1,1,0
49,male,80651,doctorate,9,sunbathing,2675,suburban,153,107,spring,0,1,0
60,non-binary,116652,bachelor,2,hiking,1503,suburban,26,44,fall,0,1,1
48,non-binary,65873,bachelor,2,hiking,2065,urban,122,42,winter,1,1,0
31,male,93942,high school,6,sunbathing,723,rural,166,38,winter,1,0,0
49,non-binary,50125,doctorate,1,swimming,3702,suburban,294,297,spring,1,0,0
32,non-binary,44577,doctorate,6,skiing,4636,rural,15,46,fall,0,1,1
54,female,119942,master,5,sunbathing,1499,urban,91,55,spring,1,0,0
57,non-binary,60718,high school,4,swimming,1831,rural,184,35,winter,1,1,0
25,female,110304,high school,4,hiking,829,rural,122,198,winter,1,1,1
36,female,94587,high school,4,skiing,2243,suburban,0,233,summer,0,1,1
36,female,103937,doctorate,8,sunbathing,3621,urban,296,115,winter,1,1,0
58,male,64601,doctorate,1,skiing,2099,urban,57,281,fall,0,1,1
50,female,66497,doctorate,9,sunbathing,1682,urban,90,136,spring,0,0,0
67,non-binary,94731,high school,0,swimming,4587,urban,60,80,winter,1,1,0
64,male,92484,high school,0,skiing,2685,rural,117,71,summer,0,0,0
40,non-binary,103577,doctorate,1,skiing,4230,urban,119,290,winter,1,0,1
38,female,84292,doctorate,7,skiing,1926,urban,9,72,summer,0,1,1
34,non-binary,39011,master,5,sunbathing,3200,suburban,101,137,summer,0,1,0
43,non-binary,41611,doctorate,1,skiing,1532,rural,163,133,fall,0,0,0
39,male,82913,doctorate,2,sunbathing,1021,rural,93,208,fall,0,1,0
21,male,53598,doctorate,3,sunbathing,2303,urban,101,81,spring,0,1,0
29,non-binary,112590,bachelor,7,sunbathing,2600,urban,223,48,summer,1,0,0
36,female,22293,master,6,swimming,948,urban,19,21,spring,1,0,0
26,female,24990,doctorate,7,swimming,2100,rural,189,46,fall,1,0,0
33,non-binary,58931,high school,6,skiing,2815,rural,257,156,winter,0,0,0
38,female,23078,master,2,sunbathing,3873,suburban,253,286,summer,1,0,0
23,male,112747,bachelor,8,swimming,2502,suburban,154,282,summer,0,1,0
33,non-binary,22809,high school,0,sunbathing,2329,rural,19,139,fall,1,0,0
63,female,28378,high school,9,sunbathing,704,suburban,172,37,summer,0,1,0
61,male,62379,doctorate,3,hiking,2803,suburban,244,115,winter,1,1,0
52,male,33334,bachelor,5,swimming,3047,suburban,121,51,fall,0,1,0
48,female,66887,master,3,skiing,3092,rural,298,56,winter,1,0,0
23,non-binary,55464,master,5,swimming,2837,suburban,247,286,summer,1,0,0
58,female,94888,high school,8,skiing,4251,suburban,63,269,fall,0,1,1
53,non-binary,112677,doctorate,9,skiing,585,suburban,225,42,summer,0,0,0
65,female,100899,master,8,sunbathing,3995,rural,2,110,winter,0,1,0
30,male,109588,bachelor,3,hiking,3218,urban,94,63,winter,1,0,0
25,female,65570,master,0,skiing,878,suburban,1,161,fall,1,1,1
22,non-binary,50354,bachelor,8,skiing,2529,urban,257,264,spring,0,1,1
41,male,102574,high school,1,sunbathing,1077,urban,33,78,fall,0,1,0
49,female,78419,bachelor,7,swimming,3548,rural,12,129,fall,0,0,0
36,non-binary,79782,master,5,skiing,2317,urban,85,209,summer,0,0,1
45,male,93437,high school,9,skiing,4763,suburban,24,251,fall,1,0,1
42,female,113159,doctorate,7,hiking,4966,urban,218,54,summer,1,1,0
52,female,61725,master,2,skiing,4987,rural,292,110,fall,1,1,0
45,non-binary,27895,bachelor,1,sunbathing,2402,suburban,63,202,summer,1,0,0
59,male,21892,master,2,swimming,4629,urban,0,124,winter,0,0,0
35,male,70211,doctorate,3,sunbathing,893,rural,217,2,fall,0,0,0
48,non-binary,107975,bachelor,2,swimming,1021,rural,175,180,summer,0,1,0
60,female,50363,doctorate,5,hiking,3396,suburban,281,205,fall,1,0,0
49,non-binary,92092,doctorate,4,sunbathing,4962,urban,236,91,winter,0,0,0
45,non-binary,72909,master,8,skiing,3378,suburban,283,214,winter,1,1,0
30,non-binary,108105,doctorate,8,hiking,2153,suburban,194,22,spring,0,1,0
54,non-binary,65888,bachelor,4,sunbathing,3821,suburban,196,136,fall,0,1,0
24,male,20171,doctorate,7,swimming,1096,rural,133,162,spring,0,0,0
66,male,117186,bachelor,3,swimming,1414,suburban,265,73,spring,1,0,0
56,male,37338,doctorate,6,skiing,1562,suburban,35,47,winter,0,1,1
53,male,25941,master,5,sunbathing,3483,suburban,9,15,summer,0,1,0
62,female,48008,master,9,sunbathing,2501,rural,244,201,fall,1,0,0
34,male,86073,high school,9,sunbathing,3759,suburban,290,128,spring,1,1,0
20,non-binary,31775,master,3,swimming,4164,rural,65,168,summer,0,0,0
44,female,92916,bachelor,8,skiing,702,suburban,134,176,winter,0,1,1
53,female,62488,master,5,hiking,1149,urban,165,82,fall,0,1,0
30,female,61571,doctorate,2,skiing,1774,urban,73,41,fall,1,0,0
51,male,28854,master,0,sunbathing,2344,rural,250,77,spring,1,1,0
53,non-binary,94886,bachelor,5,hiking,2733,suburban,154,58,spring,1,1,0
27,female,20210,doctorate,1,sunbathing,677,urban,178,128,fall,1,0,0
39,non-binary,53020,high school,2,sunbathing,2808,rural,95,56,fall,1,0,0
65,non-binary,90310,master,9,swimming,4298,rural,79,293,summer,0,1,0
41,non-binary,118651,master,9,hiking,2968,suburban,88,173,spring,1,1,1
63,male,106167,bachelor,1,skiing,1280,suburban,28,17,winter,1,0,0
61,male,72437,bachelor,8,swimming,991,urban,215,29,winter,0,1,0
62,female,42624,bachelor,6,skiing,931,urban,15,127,summer,0,1,1
30,male,96742,doctorate,6,hiking,1822,urban,46,121,spring,1,1,1
24,non-binary,57456,doctorate,2,swimming,1156,rural,258,69,winter,0,0,0
66,female,93534,master,4,swimming,769,rural,0,256,fall,1,1,0
49,female,110688,bachelor,7,skiing,2815,rural,34,72,winter,1,0,1
45,female,47177,high school,9,sunbathing,4916,rural,177,186,winter,1,0,0
67,non-binary,87452,master,5,hiking,3623,rural,291,150,fall,1,1,0
28,female,112541,bachelor,2,sunbathing,2690,suburban,212,227,spring,0,1,0
69,non-binary,52502,bachelor,1,skiing,3588,suburban,208,143,fall,0,1,0
33,non-binary,52839,doctorate,1,hiking,3441,urban,133,205,winter,1,1,1
22,non-binary,77816,doctorate,9,swimming,1028,suburban,252,14,winter,0,0,0
34,female,70286,master,0,skiing,1877,rural,141,298,fall,0,0,1
38,female,25891,doctorate,1,skiing,1987,urban,13,157,summer,0,0,1
53,female,72753,bachelor,0,sunbathing,4069,urban,41,132,winter,0,0,0
37,female,58780,master,6,swimming,4064,urban,45,286,summer,1,0,0
29,male,83729,bachelor,1,sunbathing,3027,urban,20,99,winter,1,1,0
64,non-binary,112120,doctorate,4,skiing,4523,suburban,65,117,summer,1,0,1
68,non-binary,76079,master,9,swimming,2168,suburban,195,150,spring,0,0,0
50,female,60182,high school,0,skiing,2583,rural,268,161,winter,0,1,0
42,female,48871,bachelor,1,skiing,1447,suburban,32,74,fall,0,1,1
67,female,30938,master,5,hiking,1816,suburban,277,288,spring,0,1,1
68,female,47378,doctorate,8,swimming,1127,rural,241,230,fall,0,0,0
59,non-binary,114754,bachelor,4,hiking,2859,urban,107,46,winter,0,1,0
21,non-binary,34580,high school,4,skiing,4305,rural,56,93,summer,1,1,1
45,female,23481,doctorate,1,skiing,552,urban,248,13,winter,1,1,0
57,female,118122,master,0,skiing,2402,rural,3,294,summer,0,0,1
54,female,30443,high school,1,skiing,4501,rural,0,137,winter,1,1,1
46,non-binary,115157,doctorate,3,sunbathing,573,suburban,84,215,spring,1,0,0
56,non-binary,31499,doctorate,0,swimming,4911,urban,278,259,winter,0,0,0
46,female,57646,master,3,sunbathing,2156,urban,67,132,fall,0,1,0
